lang,tokenization,vocab_size,eval_data,metric_type,mean_value,seed
EN,bpe,8192,en,bpb,1.8179755953035155,53
DE,bpe,8192,de,bpb,1.5928476743525606,53
DE,bpe,8192,de-p,bpb,1.5966057406535463,53
DE,bpe,8192,DE_lowest,bpb,1.563442696575029,53
DE,bpe,8192,DE_highest,bpb,1.6940440434691841,53
EN,bpe,32768,en,bpb,1.7941100975182507,53
DE,bpe,32768,de,bpb,1.5900235853586264,53
DE,bpe,32768,de-p,bpb,1.5437528759792316,53
DE,bpe,32768,DE_lowest,bpb,1.565922398360232,53
DE,bpe,32768,DE_highest,bpb,1.6885259458634532,53
EN,bpe,49152,en,bpb,1.8249574150173768,53
DE,bpe,49152,de,bpb,1.5887229107531569,53
DE,bpe,49152,de-p,bpb,1.558538986289708,53
DE,bpe,49152,DE_lowest,bpb,1.5439838523556337,53
DE,bpe,49152,DE_highest,bpb,1.6765438003042152,53
EN,bpe,65536,en,bpb,1.7769911083138719,53
DE,bpe,65536,de,bpb,1.594409860434784,53
DE,bpe,65536,de-p,bpb,1.5681191826080232,53
DE,bpe,65536,DE_lowest,bpb,1.5460921802821725,53
DE,bpe,65536,DE_highest,bpb,1.6952529697976497,53
EN,bpe,81920,en,bpb,1.8114938441371649,53
DE,bpe,81920,de,bpb,1.616863770963165,53
DE,bpe,81920,de-p,bpb,1.6269210613563037,53
DE,bpe,81920,DE_lowest,bpb,1.5933809918962454,53
DE,bpe,81920,DE_highest,bpb,1.6957484148305586,53
EN,bpe,8192,en,cpb,1.8179755953035155,53
DE,bpe,8192,de,cpb,1.6327386193393227,53
DE,bpe,8192,de-p,cpb,1.6649967412471027,53
DE,bpe,8192,DE_lowest,cpb,1.6042680046694549,53
DE,bpe,8192,DE_highest,cpb,1.7704818047462751,53
EN,bpe,32768,en,cpb,1.7941100975182507,53
DE,bpe,32768,de,cpb,1.6296182259952037,53
DE,bpe,32768,de-p,cpb,1.6094769787476042,53
DE,bpe,32768,DE_lowest,cpb,1.6092250908514791,53
DE,bpe,32768,DE_highest,cpb,1.7604970651689147,53
EN,bpe,49152,en,cpb,1.8249574150173768,53
DE,bpe,49152,de,cpb,1.6280236030270896,53
DE,bpe,49152,de-p,cpb,1.6254958373171768,53
DE,bpe,49152,DE_lowest,cpb,1.5963030039955448,53
DE,bpe,49152,DE_highest,cpb,1.739241935209583,53
EN,bpe,65536,en,cpb,1.7769911083138719,53
DE,bpe,65536,de,cpb,1.6346503193856492,53
DE,bpe,65536,de-p,cpb,1.635155307772346,53
DE,bpe,65536,DE_lowest,cpb,1.6011300191087188,53
DE,bpe,65536,DE_highest,cpb,1.7558630176326258,53
EN,bpe,81920,en,cpb,1.8114938441371649,53
DE,bpe,81920,de,cpb,1.658057322575626,53
DE,bpe,81920,de-p,cpb,1.698490941864766,53
DE,bpe,81920,DE_lowest,cpb,1.6395920247697824,53
DE,bpe,81920,DE_highest,cpb,1.7690103263770784,53
EN,bpe,8192,en,ppl,110.21074692265933,53
DE,bpe,8192,de,ppl,88.56486765937989,53
DE,bpe,8192,de-p,ppl,91.9843945722033,53
DE,bpe,8192,DE_lowest,ppl,75.78164308690945,53
DE,bpe,8192,DE_highest,ppl,122.46528959391672,53
EN,bpe,32768,en,ppl,258.56659932279945,53
DE,bpe,32768,de,ppl,253.24204277441217,53
DE,bpe,32768,de-p,ppl,275.3932728253131,53
DE,bpe,32768,DE_lowest,ppl,192.11098166880794,53
DE,bpe,32768,DE_highest,ppl,348.1766731673105,53
EN,bpe,49152,en,ppl,292.8176544525777,53
DE,bpe,49152,de,ppl,346.8416867122597,53
DE,bpe,49152,de-p,ppl,403.45686122864,53
DE,bpe,49152,DE_lowest,ppl,249.16729953702747,53
DE,bpe,49152,DE_highest,ppl,448.1037715191896,53
EN,bpe,65536,en,ppl,302.23350182975076,53
DE,bpe,65536,de,ppl,440.9244533942732,53
DE,bpe,65536,de-p,ppl,492.84827513667244,53
DE,bpe,65536,DE_lowest,ppl,292.8140311715179,53
DE,bpe,65536,DE_highest,ppl,628.546667440379,53
EN,bpe,81920,en,ppl,349.8235833627009,53
DE,bpe,81920,de,ppl,488.29897069076895,53
DE,bpe,81920,de-p,ppl,696.4598599298257,53
DE,bpe,81920,DE_lowest,ppl,348.66693697982925,53
DE,bpe,81920,DE_highest,ppl,700.0276290824909,53
EN,bpe,8192,en,sent-nll,122.11693325042725,53
DE,bpe,8192,de,sent-nll,131.23998374938964,53
DE,bpe,8192,de-p,sent-nll,152.29119796752929,53
DE,bpe,8192,DE_lowest,sent-nll,129.99347953796388,53
DE,bpe,8192,DE_highest,sent-nll,143.6331844329834,53
EN,bpe,32768,en,sent-nll,121.79560680389405,53
DE,bpe,32768,de,sent-nll,129.78277664184571,53
DE,bpe,32768,de-p,sent-nll,146.9138858795166,53
DE,bpe,32768,DE_lowest,sent-nll,129.54703750610352,53
DE,bpe,32768,DE_highest,sent-nll,142.9432912826538,53
EN,bpe,49152,en,sent-nll,121.00825748443603,53
DE,bpe,49152,de,sent-nll,130.4978982925415,53
DE,bpe,49152,de-p,sent-nll,147.32994174957275,53
DE,bpe,49152,DE_lowest,sent-nll,130.11654148101806,53
DE,bpe,49152,DE_highest,sent-nll,141.12518405914307,53
EN,bpe,65536,en,sent-nll,120.8893367767334,53
DE,bpe,65536,de,sent-nll,130.57159719467163,53
DE,bpe,65536,de-p,sent-nll,148.3648712158203,53
DE,bpe,65536,DE_lowest,sent-nll,129.76768026351928,53
DE,bpe,65536,DE_highest,sent-nll,142.5975700378418,53
EN,bpe,81920,en,sent-nll,122.18194475173951,53
DE,bpe,81920,de,sent-nll,132.7512477874756,53
DE,bpe,81920,de-p,sent-nll,152.662992477417,53
DE,bpe,81920,DE_lowest,sent-nll,132.6986385345459,53
DE,bpe,81920,DE_highest,sent-nll,142.8767213821411,53
EN,bpe,8192,en,mrr,0.29757506756113117,53
DE,bpe,8192,de,mrr,0.35322794316281997,53
DE,bpe,8192,de-p,mrr,0.35388431791584957,53
DE,bpe,8192,DE_lowest,mrr,0.32679464546748377,53
DE,bpe,8192,DE_highest,mrr,0.38191740595078716,53
EN,bpe,32768,en,mrr,0.2521177697896133,53
DE,bpe,32768,de,mrr,0.26382570712551734,53
DE,bpe,32768,de-p,mrr,0.26898794800366105,53
DE,bpe,32768,DE_lowest,mrr,0.2404517367347147,53
DE,bpe,32768,DE_highest,mrr,0.2884026871939532,53
EN,bpe,49152,en,mrr,0.2468768552757259,53
DE,bpe,49152,de,mrr,0.25660023764213763,53
DE,bpe,49152,de-p,mrr,0.24188262404146924,53
DE,bpe,49152,DE_lowest,mrr,0.23575105037671737,53
DE,bpe,49152,DE_highest,mrr,0.2865719464747115,53
EN,bpe,65536,en,mrr,0.2610974704677468,53
DE,bpe,65536,de,mrr,0.24795069289378313,53
DE,bpe,65536,de-p,mrr,0.23558285495126796,53
DE,bpe,65536,DE_lowest,mrr,0.22751355703991688,53
DE,bpe,65536,DE_highest,mrr,0.28933048431087327,53
EN,bpe,81920,en,mrr,0.24677688512646306,53
DE,bpe,81920,de,mrr,0.22237678390585094,53
DE,bpe,81920,de-p,mrr,0.19672734166227324,53
DE,bpe,81920,DE_lowest,mrr,0.1966650759900175,53
DE,bpe,81920,DE_highest,mrr,0.2544598571896399,53
EN,bpe,8192,en,token-nll,4.702394413948059,53
DE,bpe,8192,de,token-nll,4.483735251426697,53
DE,bpe,8192,de-p,token-nll,4.521618938446045,53
DE,bpe,8192,DE_lowest,token-nll,4.327856087684632,53
DE,bpe,8192,DE_highest,token-nll,4.807827639579773,53
EN,bpe,32768,en,token-nll,5.5551532983779905,53
DE,bpe,32768,de,token-nll,5.534345722198486,53
DE,bpe,32768,de-p,token-nll,5.618200159072876,53
DE,bpe,32768,DE_lowest,token-nll,5.258073234558106,53
DE,bpe,32768,DE_highest,token-nll,5.852710032463074,53
EN,bpe,49152,en,token-nll,5.679550075531006,53
DE,bpe,49152,de,token-nll,5.848868441581726,53
DE,bpe,49152,de-p,token-nll,6.000069570541382,53
DE,bpe,49152,DE_lowest,token-nll,5.5181245565414425,53
DE,bpe,49152,DE_highest,token-nll,6.105024838447571,53
EN,bpe,65536,en,token-nll,5.7111999034881595,53
DE,bpe,65536,de,token-nll,6.088873553276062,53
DE,bpe,65536,de-p,token-nll,6.200201368331909,53
DE,bpe,65536,DE_lowest,token-nll,5.67953770160675,53
DE,bpe,65536,DE_highest,token-nll,6.443410277366638,53
